State,District,Latitude,Longitude,District code,Households_with_Internet,Rural_Households,Urban_Households,Population,Sex Ratio,Literacy Rate
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,2521,196116,15232,454768,110.0,78.74
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1196,256081,55300,1104285,86.0,59.16
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,8053,588321,39007,1510075,101.0,76.33
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,354,44514,0,84121,82.0,72.16
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,2623,167995,20709,437903,94.0,70.26
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,5333,431129,31696,999777,101.0,72.39
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,9177,279269,95896,814010,92.0,75.26
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,2220,171102,21054,529855,92.0,68.44
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,5250,192787,51509,580320,88.0,73.85
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,2412,185091,20126,521173,98.0,76.7
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,596,122267,11350,409936,92.0,53.44
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,19905,254566,248043,1529958,88.0,74.32
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,235,40370,7774,140802,81.0,61.25
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,1443,181374,33473,616435,89.0,63.14
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,1537,147520,21703,560440,91.0,52.45
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,346,132139,15269,476835,89.0,54.89
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,16413,4518,257721,1236829,90.0,60.52
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,1214,148664,34696,554985,87.0,58.08
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,9754,250312,258452,2062330,92.0,61.75
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,590,200974,14528,1042886,95.0,48.91
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1944,257373,64337,1492073,93.0,53.18
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,11568,258764,405455,2684487,91.0,64.15
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1193,303697,23281,1321442,98.0,50.88
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,565,272872,19180,1322784,94.0,49.4
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,1944,452564,46886,2445474,94.0,51.26
Jharkhand,Godda,24.8189,87.2941735483871,351,874,276454,15576,1313551,94.0,46.02
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,831,216629,16445,1025213,99.0,54.6
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,808,165555,20113,791042,95.0,53.89
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,340,146377,14137,726978,97.0,48.24
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,351,96759,14725,461790,99.0,56.24
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,328,200588,16587,900422,99.0,39.19
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,2155,355529,52375,1939869,93.0,52.82
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,22538,420740,310242,2914253,95.0,65.59
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,591,223450,37543,1150567,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,423,144169,11114,599578,100.0,57.29
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,3745,324799,165858,1889752,99.0,58.92
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,3729,231052,95410,990923,95.0,69.51
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,17560,962777,356198,4779661,97.0,63.85
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,9626,371604,251876,2452595,98.0,57.96
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,3971,287134,102269,1703300,96.0,61.21
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,117,50449,7942,255230,98.0,34.06
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,4987,396449,131041,2177331,96.0,57.33
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,4510,311660,80766,1137961,101.0,71.91
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,5711,349704,97644,1659456,97.0,65.53
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,7320,354680,176011,1945497,97.0,67.26
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,15013,199707,283397,1847023,97.0,70.47
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,3373,180066,111906,1064570,98.0,65.77
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,9752,400704,199303,2566326,97.0,55.62
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,4851,496103,132878,1776421,101.0,68.97
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,2456,315076,98488,1597668,95.0,67.94
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,3308,181182,31792,554519,102.0,74.46
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,5051,326567,151042,1536401,98.0,66.14
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,2135,272968,64681,1389920,99.0,58.21
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,3367,458867,103435,1805769,100.0,63.67
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,28397,540596,380386,3001127,99.0,65.38
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,5200,330446,125402,1928812,100.0,50.8
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,8791,352444,201662,1752753,100.0,72.06
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,7971,685443,204799,2678980,98.0,67.69
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,9070,269817,115572,1177361,109.0,78.69
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,28842,331419,392117,2127789,110.0,87.08
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,88737,369694,804997,3282388,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,8250,391610,20823,1108974,101.0,83.23
Kerala,Kannur,11.941523076923056,75.35209891725934,589,32653,306288,566191,2523003,114.0,84.76
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,10378,251641,166164,1307375,108.0,79.36
Kerala,Kollam,8.929388820570157,76.6360775852431,600,31542,523715,401415,2635375,111.0,85.01
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,37849,481967,196194,1974551,104.0,88.62
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,36791,323793,666543,3086293,110.0,84.74
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,27909,634543,522586,4112920,110.0,80.51
